county,state,population,lat,lon,lat_gmap,lon_gmap
Arkansas County,ar,18731,34.369,-91.421375,34.2354138,-91.28910359999999
Arlington County,va,190684,38.873577777777776,-77.10182222222222,38.8816208,-77.09098089999999
Armstrong County,pa,62069,40.76829411764706,-79.5224117647059,40.8790518,-79.4703885
Armstrong County,tx,1943,34.965,-101.358,34.937162,-101.4339148
Aroostook County,me,49497,46.75611764705883,-68.17541176470588,46.819941,-68.4766064
Arthur County,ne,448,41.569,-101.696,41.5680276,-101.6157773
Ascension Parish,la,95096,30.249454545454544,-90.92963636363636,30.2017295,-90.9438468
Ashe County,nc,27114,36.43,-81.51016666666666,36.4339674,-81.47183869999999
Ashland County,oh,47924,40.83399999999999,-82.29050000000001,40.9435588,-82.3017728
Ashland County,wi,15993,46.48028571428572,-90.76228571428571,46.9794969,-90.48248919999999
Ashley County,ar,21229,33.182,-91.87657142857144,33.1565939,-91.7538817
Ashtabula County,oh,81674,41.81742857142857,-80.76890476190476,41.9396982,-80.7214417
Asotin County,wa,22040,46.3645,-117.11066666666666,46.1460123,-117.2085208
Assumption Parish,la,16235,29.8835,-91.06349999999999,29.9232544,-91.09693999999999
Atascosa County,tx,29209,28.95866666666667,-98.54916666666668,28.8661281,-98.5721016
Atchison County,ks,10851,39.54533333333333,-95.18266666666666,39.5701137,-95.35208759999999
Atchison County,mo,5440,40.423,-95.45949999999999,40.42389600000001,-95.4777811
Athens County,oh,46237,39.35945454545455,-82.08281818181817,39.30303079999999,-82.12783999999999
Atkinson County,ga,8294,31.289666666666665,-82.87466666666666,31.2932161,-82.8640623
Atlantic County,nj,203528,39.41726530612245,-74.56167346938776,39.5333379,-74.6868815
Atoka County,ok,13906,34.37425,-96.05925,34.4509901,-95.9832577
Attala County,ms,19175,33.071666666666665,-89.59249999999999,33.1683267,-89.62516459999999
Audrain County,mo,25783,39.19942857142858,-91.83628571428571,39.22195300000001,-91.9099238
Audubon County,ia,3930,41.637,-94.90299999999999,41.7326826,-94.976654
Auglaize County,oh,37766,40.543555555555564,-84.27844444444446,40.5781556,-84.3542049
Augusta County,va,74053,38.14123076923077,-79.05253846153845,38.2004562,-79.24511489999999
Aurora County,sd,2729,43.718,-98.564,43.6983477,-98.5721016
Austin County,tx,28886,29.861666666666675,-96.238,29.8711291,-96.2800864
Autauga County,al,55221,32.48825,-86.52608333333335,32.5791817,-86.49965460000001
Avery County,nc,14757,36.09025,-81.91924999999999,36.1198414,-81.909826
Avoyelles Parish,la,29075,31.057999999999996,-92.08783333333334,30.9711824,-92.0665197
Baca County,co,3701,37.371,-102.589,37.394731,-102.5298028
Bacon County,ga,11222,31.551,-82.46566666666666,31.5412085,-82.4319405
Bailey County,tx,7126,34.069,-102.831,34.0913057,-102.8975098
Baker County,fl,27135,30.2975,-82.19274999999999,30.3931168,-82.3017728
Baker County,ga,2209,31.303,-84.319,31.2816037,-84.4802606
Baker County,or,14432,44.742000000000004,-117.8226,44.7652304,-117.67692
Baldwin County,al,191292,30.538533333333337,-87.75710000000004,30.6010744,-87.77633329999999
Baldwin County,ga,42810,33.082625,-83.25387500000001,33.0338083,-83.2934086
Ballard County,ky,3831,37.019000000000005,-89.03300000000002,37.0359869,-89.0179332
Baltimore County,md,600097,39.357716129032255,-76.60944516129037,39.4647665,-76.7336521
Baltimore city,md,481849,39.30957961783439,-76.620050955414,39.2903848,-76.6121893
Bamberg County,sc,8295,33.202666666666666,-81.08733333333333,33.2074402,-81.0754657
Bandera County,tx,20796,29.6932,-99.0704,29.7404135,-99.2785583
Banks County,ga,18336,34.345,-83.49575,34.378542,-83.46435509999999
Banner County,ne,820,41.54600000000001,-103.71,41.500766,-103.6362715
Bannock County,id,83604,42.86254545454545,-112.42254545454547,42.5836362,-112.1430215
Baraga County,mi,8690,46.715500000000006,-88.31649999999999,46.7352761,-88.3010401
Barber County,ks,1728,37.14,-98.675,37.2299788,-98.7481167
Barbour County,al,26932,31.86777777777778,-85.33111111111113,31.8172896,-85.35496499999999
Barbour County,wv,16731,39.10925,-80.003,39.1398692,-80.0087746
Barnes County,nd,8069,46.93333333333334,-98.03033333333333,46.926176,-98.12223379999999
Barnstable County,ma,191651,41.698420000000006,-70.30744,41.69909579999999,-70.32091129999999
Barnwell County,sc,22098,33.2856,-81.3628,33.279925,-81.47183869999999
Barren County,ky,32242,37.00028571428572,-85.94428571428571,36.9676836,-85.84862360000001
Barron County,wi,40024,45.457,-91.83144444444444,45.3607574,-91.77694799999999
Barrow County,ga,66420,34.00158823529412,-83.73594117647059,34.0142667,-83.6986568
Barry County,mi,55829,42.603300000000004,-85.32560000000001,42.5354321,-85.35496499999999
Barry County,mo,31500,36.728500000000004,-93.83783333333334,36.6345264,-93.8248241
Bartholomew County,in,79488,39.21166666666668,-85.89946666666667,39.206801,-85.8895551
Barton County,ks,21067,38.405499999999996,-98.76983333333332,38.3613844,-98.7651482
Barton County,mo,12166,37.498333333333335,-94.30133333333333,37.4748791,-94.315422
Bartow County,ga,101336,34.20226666666666,-84.81646666666666,34.2660473,-84.8150781
Bastrop County,tx,70112,30.132888888888886,-97.31277777777777,30.0458708,-97.35165579999999
Bates County,mo,16643,38.251,-94.32225000000001,38.3216754,-94.315422
Bath County,ky,9988,38.12,-83.68,38.1068164,-83.7199136
Bath County,va,4583,38.055,-79.747,38.111733,-79.6502105
Baxter County,ar,41040,36.33011111111111,-92.37066666666665,36.3261815,-92.38136209999999
Bay County,fl,172225,30.18911904761905,-85.6767619047619,30.1805306,-85.684578
Bay County,mi,100847,43.63344,-83.92415999999999,43.7109732,-84.01674229999999
Bayfield County,wi,15050,46.6074,-91.1462,46.6650481,-91.12220070000001
Baylor County,tx,3628,33.616,-99.214,33.5373926,-99.2785583
Beadle County,sd,12281,44.3808,-98.23979999999999,44.4797351,-98.2212979
Bear Lake County,id,5939,42.296,-111.3245,42.228222,-111.2845025
Beaufort County,nc,44243,35.5066,-76.9274,35.4613504,-76.91820969999999
Beaufort County,sc,147653,32.30171875,-80.7636875,32.2860396,-80.7214417
Beauregard Parish,la,24824,30.745799999999996,-93.3584,30.7611484,-93.33889169999999
Beaver County,ok,5530,36.77033333333333,-100.497,36.7440186,-100.5296115
Beaver County,pa,134908,40.677595238095236,-80.30742857142857,40.6367812,-80.365865
Beaver County,ut,6461,38.36,-112.9645,38.3266376,-113.287085
Beaverhead County,mt,9291,45.193999999999996,-112.661,45.2135118,-113.1093046
Becker County,mn,33138,46.8722,-95.7739,46.9164628,-95.7036557
Beckham County,ok,23300,35.32275,-99.58025,35.2687266,-99.634135
Bedford County,pa,39775,40.05466666666666,-78.46822222222222,39.98695499999999,-78.5660852
Bedford County,tn,39252,35.509125000000004,-86.44325,35.4702472,-86.4592091
Bedford County,va,51413,37.32341666666667,-79.53399999999999,37.2538794,-79.4703885
Bee County,tx,27452,28.397000000000002,-97.74383333333333,28.3624206,-97.69822719999999
Belknap County,nh,59209,43.530071428571425,-71.45464285714286,43.5024246,-71.4073938
Bell County,ky,23215,36.678714285714285,-83.71071428571429,36.741122,-83.63484299999999
Bell County,tx,272932,31.08350980392157,-97.56349019607842,31.134411,-97.5247243
Belmont County,oh,55418,40.04558823529411,-80.85411764705883,40.0325848,-80.89865019999999
Beltrami County,mn,34796,47.625,-94.844375,48.0370038,-94.82892389999999
Ben Hill County,ga,17477,31.736,-83.24300000000001,31.7664035,-83.2077645
Benewah County,id,9088,47.2235,-116.6725,47.2437836,-116.6499425
Bennett County,sd,2012,43.18600000000001,-101.696,43.12235769999999,-101.6157773
Bennington County,vt,36589,43.01383333333334,-73.13966666666666,43.0278745,-73.13496049999999
